gene,importance
GENE_0945,0.0022622169711510724
GENE_0368,0.0021008646589131155
GENE_1331,0.0018563549267019512
GENE_0490,0.0018510868871315796
GENE_0605,0.001777743767023194
GENE_0214,0.0017309865677139036
GENE_1746,0.0017181724008378974
GENE_0276,0.001686156472068663
GENE_0914,0.0016173447251514512
GENE_0588,0.0016061912181716508
GENE_0354,0.0015805468432177597
GENE_0757,0.0015605894231446702
GENE_0871,0.0015490642681733101
GENE_1585,0.0015416987103307076
GENE_1897,0.0015351776401710268
GENE_1844,0.0015345339624043281
GENE_1301,0.0014945579024627936
GENE_1961,0.0014906189943729735
GENE_0429,0.0014852570498887195
GENE_1970,0.0014807353929165222
GENE_1402,0.0014748846725976116
GENE_0753,0.0014595077708866456
GENE_0032,0.0014514009602789458
GENE_0385,0.0014487723032270633
GENE_0558,0.001446886163587438
GENE_1822,0.0014317732847018523
GENE_1116,0.0014248100218389745
GENE_1231,0.00142190493126776
GENE_1265,0.0014092348498236788
GENE_0437,0.0014010535056269897
GENE_0816,0.001395727003934433
GENE_0699,0.00139244313690758
GENE_1073,0.0013761293434292694
GENE_1949,0.0013718524326264876
GENE_1869,0.0013657773014077372
GENE_0635,0.0013645431000440104
GENE_0320,0.0013637752011639197
GENE_1208,0.0013559726130034945
GENE_1908,0.0013556432207552668
GENE_1751,0.0013535155971493558
GENE_1709,0.0013292175645385896
GENE_0219,0.0013280763237090117
GENE_0874,0.001323105343361379
GENE_1682,0.0013227270933758581
GENE_0296,0.001316692714563018
GENE_0498,0.0013039772620035111
GENE_0236,0.001294099340037747
GENE_0878,0.0012935551412357707
GENE_0500,0.0012929790068229535
GENE_1545,0.0012928569046185693
GENE_0581,0.0012911780964332963
GENE_1626,0.0012902046550981035
GENE_1957,0.0012849217589749288
GENE_0670,0.0012781359013479274
GENE_0731,0.001270568728850175
GENE_0151,0.001269912386118569
GENE_1734,0.0012668926323205405
GENE_1673,0.001262524576388359
GENE_1227,0.0012534736726342284
GENE_0722,0.0012512294628685807
GENE_1894,0.0012510347924040328
GENE_0809,0.0012484629579515528
GENE_0407,0.0012478256227374674
GENE_1381,0.0012456287082166437
GENE_0957,0.001232788188586007
GENE_0462,0.001227050110586491
GENE_1337,0.0012262941975182847
GENE_1834,0.001215603406782278
GENE_1207,0.0012106075292828513
GENE_0880,0.0012062344173181295
GENE_1919,0.0012039915323077996
GENE_1284,0.0012014835518864451
GENE_0336,0.0011981706307903756
GENE_1831,0.0011903709943838431
GENE_1353,0.0011828688333096098
GENE_1472,0.0011801158447034032
GENE_0251,0.0011721577955804432
GENE_0691,0.0011701695372791014
GENE_1019,0.001168626279183611
GENE_0797,0.0011670244797432898
GENE_1214,0.001162144390450469
GENE_1824,0.0011570228940568318
GENE_0055,0.0011546952144558488
GENE_0504,0.0011521781473323271
GENE_1701,0.0011463254096412809
GENE_0455,0.0011436249937976752
GENE_0250,0.0011365993038359341
GENE_0593,0.0011333450212002924
GENE_0842,0.001129212000630806
GENE_1639,0.0011275984505387394
GENE_1000,0.0011271343795284288
GENE_0383,0.0011231452581333856
GENE_0234,0.0011167277020214547
GENE_0630,0.001116383922029206
GENE_0433,0.0011101085413149328
GENE_1008,0.0011072047620725811
GENE_1986,0.0011070885386892833
GENE_1365,0.0011021549992279096
GENE_1996,0.0011020246339205426
GENE_0381,0.0011008602794203013
GENE_0477,0.0010994186237439604
GENE_0602,0.001097782615076898
