,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
TCGA_BRCA_000,5.334015039975733,3.624184479485305,-0.9857808883758559,1.67439233775123,-1.8417334050098284,1.585701640061104,-2.543482461644224,1.001650699073566,2.6251316817110646,-3.1756458199610833
TCGA_BRCA_001,2.9122404805806124,2.788441820874585,4.221151520632114,-10.237347417988834,0.37539668226980244,0.05432154481073283,1.3167112724402024,4.322239174700439,-3.594651760049369,-2.242784480787492
TCGA_BRCA_002,6.270994896322566,-0.232033878627992,-0.40592263822388663,2.5095277616281657,-0.39246073588725655,0.8113797737156613,-0.8066259581866584,3.7696768714372038,0.46738393774728487,-0.5466365371362597
TCGA_BRCA_003,-0.29350324738705325,-0.3679258198283324,-2.746567810737217,-4.327291332844917,1.3696007551656382,-6.199969912075028,-4.124840947285087,0.45119935456528293,-1.473343930247679,-0.8542008954293479
TCGA_BRCA_004,-4.643126579905246,-2.6243533744979777,5.927697719597084,-8.581249542469928,3.5783260838190065,3.0008870415603344,3.5785358673005825,1.4197696505302297,2.1501711247331907,-2.2087816932370163
TCGA_BRCA_005,-3.0208430454251793,-2.7133768391322475,2.7373450434835904,1.6344884080701505,5.607917026692388,0.10304794570279269,-0.6023455356461703,2.9406705191015003,2.39879150769648,-5.63747748325089
TCGA_BRCA_006,-2.221299185635756,1.5133946728339291,1.9935350249396304,-0.4266275748316875,-6.840149700257237,0.5246739739660375,1.8152357198041207,-0.7699365326541358,1.8770847940148523,-0.5818452520688766
TCGA_BRCA_007,-4.128983829743695,0.05835737882906813,3.602560370412918,-0.4987077597143172,2.858620839444099,0.8058603558139813,-1.5411385218609344,-3.6949180770644494,-0.6009717697733203,-1.3536190531631918
TCGA_BRCA_008,1.5277286934276626,-2.9503776254461282,2.301991637822141,0.9277455668885548,-4.736791058292466,-4.563320692128307,-4.884424719592586,-2.510510169038482,-0.9528910625260976,-3.1500744244491137
TCGA_BRCA_009,3.954136663621516,1.584628179181233,3.474896296170187,5.321224649089217,1.0585504834705017,-1.4821122720228557,-0.8385330847239924,-4.740073118506286,-3.5853913116715037,-0.37303387297421553
TCGA_BRCA_010,2.0228780501334893,2.3806939943433965,-5.7267728869312675,4.270950498900724,-4.62583327211093,1.0895221059727198,3.6908442312858445,-0.12324082034085256,-4.915666106573176,-3.7133524243344174
TCGA_BRCA_011,-2.6770022499749557,3.920686148854341,-2.6502987773931697,1.5106838016086535,0.7213433795939291,1.3098944233657592,-2.1436034773886052,2.885561300464191,4.322071405574066,3.896358115554308
TCGA_BRCA_012,3.5044429305755123,0.6118831105612288,5.114161650375158,1.8919948527353292,5.750768306521864,0.802528031942714,4.036205258754077,-3.990078605150701,-1.711738128975174,-0.7743966180794947
TCGA_BRCA_013,-4.255505545963375,3.436955824561629,2.3630603619346497,-1.7805508677980317,0.23162586116141942,-0.635030638007446,-3.9588395559941203,-4.914313577469224,-0.07486022515030545,1.2823052680788065
TCGA_BRCA_014,6.803390842422223,4.472471137194214,-2.881832567869522,-2.6964992638317486,1.1618925596127196,1.4061933777821414,-3.850176990735007,1.8719412562835385,-1.5441181945970353,-1.8347736432280102
TCGA_BRCA_015,1.3304145404700585,-0.6213949121379511,0.3530103340462008,-6.78828901042701,3.8445039599587676,1.504872114991983,-1.3368057135057585,1.1253708575063082,-3.159658843465758,3.8715688131301227
TCGA_BRCA_016,4.034163531704009,-4.022199683315233,1.4075444496898717,5.8605943610325015,3.574988620968982,-4.67622434923235,-0.20993939484822283,-1.8361529622583774,-3.0553767595782766,-3.485347177370135
TCGA_BRCA_017,2.0237825050180467,-3.010555606202044,-3.6858588635600795,-5.208390126476255,3.7565914665147337,4.695307755246327,-2.062474082498152,2.5949196035016486,0.12152108380033395,0.7989066676078775
TCGA_BRCA_018,-2.851722548372003,-0.2645149261928164,0.7632484040832614,3.4726679185107066,0.47004705072979314,-3.8399155930562197,-8.971638862398818,0.46739113673827465,-2.976240656955665,0.08975407916635647
TCGA_BRCA_019,-0.26050689173390373,7.073632302773382,5.083707065038807,-2.3520447272229896,0.19502017544695888,-3.2112086558068493,0.36876040446277314,-1.8507721293082842,-0.6179077878177126,-5.680504459955198
TCGA_BRCA_020,1.488639043279333,-7.765283858406989,3.9007490599837946,-3.5486883167819467,2.9130642737242973,-1.2292758673747863,-1.7051061761282083,-5.980123800162135,6.052976044248122,-1.8047634272338335
TCGA_BRCA_021,3.543777781078417,0.9735073025978379,-2.912468856890575,0.20735888807595096,-4.313865924185705,-0.8250000546508275,7.53519010900314,2.3727719370084617,-0.9777448787971955,1.0912756586510144
TCGA_BRCA_022,-0.23997850343277408,-0.9667231252867603,-3.2810956202709285,0.4252607084964008,-0.4476339679282703,7.19403325735546,4.450011327597727,-2.628091218478417,-1.4164628098529781,-9.522506472571784
TCGA_BRCA_023,0.8408077905125282,-3.856920043708738,2.59009675391869,-2.72952907216631,1.666614056388793,1.332343551501897,-0.5208566101217732,3.1531380927772457,0.7776189367786318,-1.2957741590903868
TCGA_BRCA_024,2.6590857182065846,1.5866376189963913,1.8956580715664935,2.8554970484439512,-0.8559779199037586,3.521118042324346,2.4910367389435386,-5.724980594571471,-2.0903449730231944,-0.5265916118194246
TCGA_BRCA_025,1.5713297218121736,3.5703610543825444,-2.04268123119052,-2.2087119578792747,0.6695284456695768,2.9705948986434523,0.510243412125945,2.7243858908036755,0.4126527271146587,-1.1863868897220609
TCGA_BRCA_026,-0.46340946515630904,-1.9436601390349242,0.8985423923892749,3.287220865847922,4.178320248869299,-1.9016546432278494,-0.9031690890874284,0.45696325686821476,-0.5261386827742999,0.2150305474914875
TCGA_BRCA_027,-5.479823815132186,1.3562792004211985,1.0120872050357848,-3.064689912969809,-4.2912620554778265,2.4595742528017484,-0.6785170567917083,-3.545461640923877,2.864382393183325,0.0638562735649608
TCGA_BRCA_029,2.8972180805989534,-4.5997665141402715,-2.401037291388797,-6.482439961044456,-1.727139947833417,-2.466109934899773,-2.8928225773847545,-5.144538647437372,-1.3504072460299303,-0.3766453426604175
TCGA_BRCA_030,-0.25622886303016884,2.0846426510720706,3.80897142948615,4.1317832659461144,4.104468272481931,3.1653572164411377,-0.999018354141045,-2.1944845657166523,-0.4027855649175958,-3.2546607998828048
TCGA_BRCA_031,1.1614715632419945,5.031654152326785,-3.562273117445331,1.202833666381653,-1.2827988221645124,0.8876931022827038,-0.2070920489252755,-5.465154031024145,0.6472444642341638,-0.7906450431804452
TCGA_BRCA_032,-1.7713199828836266,1.1369301152176652,2.8692452699483786,6.11623579874692,4.691289888534882,-3.1967778562294957,-0.3219770905023197,-0.07400244729074676,0.6830936026978246,-4.392193423268859
TCGA_BRCA_033,-2.656877581408513,1.447885904463069,-1.3099783914832899,6.367152554378356,-1.3627455127471089,-2.3547377233620668,-3.10415334683668,2.6738414745396875,8.307372357502171,-2.6886571875554344
TCGA_BRCA_034,5.406782284799649,-1.888912762630339,0.3804226593332406,-4.912006527070595,-0.9628463246046146,0.728336708655149,1.3512021765877327,-5.420206866711911,-4.1337591330899635,1.3668249325277295
TCGA_BRCA_035,-6.744075443723746,-2.6547001471137968,-0.261764903585748,1.8761784722207786,1.4779928886296962,-2.9410418151828344,-0.020288777007038412,0.3709074475103867,1.238799927689031,-2.269617728529115
TCGA_BRCA_036,4.066644666712499,2.0876962446384253,-2.7037673338051333,-1.1757838152975655,0.6122462278462587,0.3806247603519257,3.622917757482102,4.551088316103135,-1.759584701460386,-2.9959864077772878
TCGA_BRCA_037,0.8552439967457945,-4.115384366798877,-3.6616491810041034,-3.438356556130299,-0.25083123665550616,-1.1685317566430111,5.354933890727248,-0.6355513739596664,1.4075438701684864,1.4898413568443312
TCGA_BRCA_038,0.27386155552225755,7.057139684370525,0.5021587459142225,3.509324773350442,-4.542038396821032,0.6954091535507411,-3.6883718315267173,4.372049257609751,-5.012275434358045,-2.7353310552177557
TCGA_BRCA_039,1.00152003737103,-0.6882367622481272,-2.5004377046646504,1.9682204343812912,0.008300970620042392,4.759058922123942,1.4653382944921158,-4.824330115355455,0.14920667062476917,0.33860664415902086
TCGA_BRCA_040,-1.3997063355986028,-2.376952938674569,-0.33900074331501356,3.711002331791865,0.2904420627340012,0.2547170794025897,4.5220930742484065,3.0069113282470608,0.22264461149630935,2.7969062972657257
TCGA_BRCA_041,-0.6757243221598817,-2.1004575542284254,-3.1855909212585107,2.062347560249035,-3.479735919794513,0.9991896473165172,-0.1644374085071828,0.6440341275421534,4.120609239531935,-2.968100747370251
TCGA_BRCA_042,0.9219534757012281,2.5850538672156724,1.5456976506555982,1.8701703926113995,-6.491706114356447,1.5116155206891166,-6.05965686548649,3.285473780891594,-5.081976253965012,2.210576314386035
TCGA_BRCA_043,-8.249794111945967,1.2864170194295916,-0.42731916408171405,-2.430723087534043,0.18430869255856056,2.4143902473615846,1.1833380009316263,-5.16790627846462,-1.6129103806584184,-1.0201964295884849
TCGA_BRCA_044,1.7091919019821835,1.4631893178113753,-7.056052968896203,0.9557491948910082,0.8542006593477797,2.6250194729452696,-0.5119387550098164,2.213193459975808,-3.221447591663347,-0.6626263220924817
TCGA_BRCA_045,8.37610317864027,-2.6322315492473756,-2.861016241452719,-3.2584651916198943,-1.7814994940455664,-0.08881664222052396,-2.434140018639145,0.020560870054932654,-2.528847038911834,3.5310483028189315
TCGA_BRCA_046,3.5428990606892974,-1.1877966346000413,-1.9299810730337277,1.6285326547133794,0.2774773181087453,-4.066018314020432,2.2912030539753876,3.9729237368255883,2.14112269257961,1.458093527419187
TCGA_BRCA_047,0.06638091313543219,2.6671980327010165,-5.579716188077193,-3.8301622669930038,5.304076903704637,-4.631538140628839,1.0839784924844917,0.6000183243750389,-0.5121391860479891,-2.2385137743427213
TCGA_BRCA_048,1.6559849287529285,-3.6142858459564153,4.074728795476758,6.2607851634360445,1.560937891612377,-2.2460969098544346,4.505422081256036,10.675668682765227,1.7662362947916315,5.060341806244286
TCGA_BRCA_049,-6.030988175349356,1.263277835543178,-4.273812387473663,-4.055622763842421,1.5037789604120289,5.110592271563171,-2.7470141324284727,-6.617768084136403,-5.433829954311042,-0.7767451697604344
TCGA_BRCA_050,-1.274206609178843,1.5469698321696013,2.944850873012324,-8.157442171502106,-4.935702799028497,-4.372586385649533,0.05250789912159753,0.116850539936575,0.686716265870057,5.100368872022962
TCGA_BRCA_051,-9.206413570199723,-0.7224046993647982,1.6818397114750159,3.5034202923972124,-1.9074346564391758,2.252547958737693,1.3435740361419588,-5.333811267463928,-3.74913845188152,0.4602628382894132
