gene,log2FC,pval,padj,-log10p,significance
GENE_0001,-0.4722393017450015,0.16933756838721337,0.9692998446522187,0.7712466807967809,NS
GENE_1638,0.5480608999537377,0.10634021252546055,0.9692998446522187,0.9733024760648856,NS
GENE_1639,-0.46553391177604375,0.18999652566945813,0.9692998446522187,0.7212543406070578,NS
GENE_0635,-0.6631085976186588,0.06790332749395483,0.9692998446522187,1.1681089432915917,NS
GENE_1648,0.5755838615638336,0.041792728357408965,0.9692998446522187,1.3788992758559138,NS
GENE_1650,-0.8121987758471256,0.04019577825621194,0.9692998446522187,1.3958195582665889,NS
GENE_0626,-0.7530451904267306,0.03360118943825348,0.9692998446522187,1.4736453488801842,NS
GENE_1651,0.5291637041700303,0.1426123213243087,0.9692998446522187,0.8458429509779072,NS
GENE_0623,-0.5050238197581098,0.13204832845854253,0.9692998446522187,0.8792670919642583,NS
GENE_1653,0.3926950943131047,0.1654163284149066,0.9692998446522187,0.7814216230151292,NS
GENE_1656,0.44113210809367587,0.20174607957398993,0.9692998446522187,0.695194895941336,NS
GENE_0614,0.7391905259051557,0.04901816419170777,0.9692998446522187,1.3096429577991733,NS
GENE_0611,0.5429696891673332,0.16029458193714263,0.9692998446522187,0.7950811568384202,NS
GENE_1659,-0.5078296740476755,0.18375288157316827,0.9692998446522187,0.7357658416777069,NS
GENE_0602,-0.8554695779871748,0.009628830515877988,0.9692998446522187,2.0164264575632664,NS
GENE_0599,0.6850570043702549,0.04361934592355336,0.9692998446522187,1.3603208509976046,NS
GENE_1667,0.4486587468323071,0.18600460695228693,0.9692998446522187,0.7304762990660683,NS
GENE_1669,-0.5706959663443216,0.11905081113048206,0.9692998446522187,0.924267641264625,NS
GENE_0596,-0.8509791701088156,0.035193671128620554,0.9692998446522187,1.4535354285969122,NS
GENE_1675,0.6457023596595874,0.0618604939578827,0.9692998446522187,1.2085866164646495,NS
GENE_0574,0.4070138824324312,0.14517751348847296,0.9692998446522187,0.8381006461988946,NS
GENE_0572,0.4736802573189136,0.09848109633167992,0.9692998446522187,1.0066471253067495,NS
GENE_1679,-0.6505412561838746,0.10022517042860146,0.9692998446522187,0.9990231965776828,NS
GENE_1680,-0.9569165829823687,0.01657733866310047,0.9692998446522187,1.7804851901127507,NS
GENE_1685,0.6361475474332297,0.1871394695335652,0.9692998446522187,0.727834605910682,NS
GENE_1686,0.4639094756058606,0.16907447573712153,0.9692998446522187,0.771921950552498,NS
GENE_1688,0.6466401696632111,0.07708584994316471,0.9692998446522187,1.113025334732307,NS
GENE_0558,-0.2996637199387724,0.15603557378819718,0.9692998446522187,0.8067763776798168,NS
GENE_1321,-0.7561098493521614,0.06713853976477818,0.9692998446522187,1.1730281087090304,NS
GENE_0643,-0.8010327074494992,0.03631584166588481,0.9692998446522187,1.439903886058182,NS
GENE_1636,0.6284142377993156,0.08678514790544944,0.9692998446522187,1.061554592042482,NS
GENE_1635,0.47283012449684225,0.15677958454752516,0.9692998446522187,0.8047104907306966,NS
GENE_0753,-1.0080615417417524,0.0107260048376148,0.9692998446522187,1.969562011498539,NS
GENE_1593,-0.5525546437720221,0.17985935519271745,0.9692998446522187,0.7450669678932401,NS
GENE_1596,-0.6622935103583298,0.09076847901836911,0.9692998446522187,1.0420649418429473,NS
GENE_1597,0.6825039917626041,0.08569475068815251,0.9692998446522187,1.067045780375422,NS
GENE_0741,-0.5255070380548084,0.074561667130699,0.9692998446522187,1.127484390118012,NS
GENE_0734,-0.6520435031048049,0.0776560980979537,0.9692998446522187,1.1098244347673039,NS
GENE_1603,-0.31693764847735295,0.20355326954925312,0.9692998446522187,0.6913219174270773,NS
GENE_0728,-0.6383901994723109,0.07680171806681074,0.9692998446522187,1.1146290646222683,NS
GENE_0725,0.7246237614288535,0.06650534139258821,0.9692998446522187,1.1771434728296908,NS
GENE_0724,-0.48536758176377415,0.14145997353816755,0.9692998446522187,0.8493664274937024,NS
GENE_0723,-0.5905780779520908,0.094729819342404,0.9692998446522187,1.0235132909294968,NS
GENE_0717,-0.5433063000473677,0.12520880304639262,0.9692998446522187,0.9023651361409775,NS
GENE_1619,0.7845652709361737,0.01586108608196779,0.9692998446522187,1.7996670778471602,NS
GENE_1691,0.4604831324588057,0.15878120022990605,0.9692998446522187,0.799200919539541,NS
GENE_0709,0.5590626859114893,0.13917353883470904,0.9692998446522187,0.856443329599642,NS
